SETTLEMENT_TIME,ACTUAL_PRICE,FLUENCE_P50,MARKET_P50,F_DIFF_A,M_DIFF_A
10/09/20,10.36193044,11.412382904,7.38260034,8.746212724,12.06424504
10/10/20,3.07577065,6.979206143,-6.90352949,7.616993565,15.40875866
10/11/20,16.90882031,16.1016087,15.48368551,3.74059225,4.64781614
10/12/20,9.31829429,10.7912283,10.41649079,3.961830674,5.35196042
10/13/20,13.42666783,13.5727551,13.82575863,1.10813247,1.94299148
10/14/20,8.45601306,8.26659142,9.10094762,2.0043507,3.23494576
10/15/20,12.04336956,12.0690203,11.13069863,1.71328734,3.72533169
10/16/20,17.43370766,16.949608,16.88628635,3.09479818,3.79348147
10/17/20,8.80590444,9.279923677,8.55241826,2.784539579,3.0894151
10/18/20,12.61204956,12.72016107,12.14307794,1.57960111,1.6569586
10/19/20,14.6634474,15.0516141,13.92367139,1.90254256,2.07024635
10/20/20,27.04051823,25.097533,25.55811914,4.60481843,6.97113325
10/21/20,14.40794761,13.96697981,14.88271313,2.02044278,3.19409572
10/22/20,13.91124846,13.129745728,14.31973892,3.809887476,5.2775538
10/23/20,3.07429975,3.227079813,3.55900643,8.485696325,10.8703313
10/24/20,-2.25572121,5.608280352,-16.09704359,13.002678026,21.56093278
10/25/20,6.78270443,7.150170842,-1.88211347,7.031708752,14.94718028
10/26/20,11.66329672,11.36519973,12.44357521,2.32159205,2.50695621
10/27/20,15.9146139,16.17497084,15.80492571,2.40833504,3.17098195
10/28/20,15.08640521,15.899429606,14.95186823,7.993411392,8.61702272
10/29/20,-3.78548611,5.05703758,-5.93114214,13.85163345,22.47792455
10/30/20,10.45183233,11.35840863,10.35859081,2.55990868,2.9064386
10/31/20,13.21397354,13.4207657,13.33442112,1.11900306,1.21395024
11/01/20,10.79958339,10.63844979,9.25601244,1.43479292,2.74369351
11/02/20,5.79789155,8.779102879,0.79232859,7.997412209,16.3911341
11/03/20,14.8622059,13.238050751,2.25407257,5.082722069,15.36221055
11/04/20,7.96957647,10.91130976,3.22243046,7.31189651,12.90562023
11/05/20,17.59591484,15.663463028,16.45064688,4.122462572,4.7694384
11/06/20,10.29738341,10.99731501,8.16541606,2.86881122,5.33710555
11/07/20,2.69632896,5.644589666,3.22853855,5.546563886,7.05574085
11/08/20,7.61748503,7.752880182,3.69598895,2.597802462,5.687461
11/09/20,12.85474433,12.99497422,-41.19543625,2.20519335,55.38830028
11/10/20,10.11062609,11.91530237,5.88664867,4.16964924,10.18016806
11/11/20,1.73629846,3.994037806,-2.91007672,5.406602246,9.26759002
11/12/20,8.98960882,9.47539702,9.16642814,3.9172205,4.5486996
11/13/20,12.05109176,13.02045412,13.39049625,2.91335284,3.05226697
11/14/20,6.14530314,8.106962951,2.94865168,4.910701849,9.06987692
11/15/20,5.55645428,7.20941934,-0.66601554,6.3371251,12.58746914
11/16/20,3.89618712,4.98905279,5.5009132,3.79202849,5.98031488
11/17/20,14.9367492,14.1660268,14.40799774,1.94460242,2.59376446
11/18/20,16.4636791,14.7540429,15.84316348,4.58701252,5.42196974
11/19/20,10.96475294,10.22885896,8.25575575,4.08056234,6.67865571
11/20/20,11.54112068,10.947869704,10.77991155,3.222340776,4.06854825
11/21/20,12.84590292,13.038562096,13.87986327,1.880983064,2.64226145
11/22/20,16.96220851,15.913084669,14.64535952,4.629399601,5.89217471
11/23/20,9.12704452,11.76674648,4.20482051,5.03624832,9.06694599
11/24/20,12.97457388,13.568869366,13.49832953,2.334185134,2.70052961
11/25/20,17.96740231,17.1938779,16.52257575,2.11954855,2.78282582
11/26/20,13.80594353,13.547664201,14.61962792,2.717093793,3.35513121
